// Pouchou & Pichoir's database of 826 microanalytical measurements on binary compounds
// From ""Electron Probe Quantitation""", Newbury & Heinrich (Eds)
// A,Line,B,Beam Energy,Wgt Frac A,K-ratio A,Take-off
79,12,29,36.5,0.508,0.4282,40
79,12,29,39.5,0.508,0.4279,40
29,0,79,13,0.7,0.7758,40
29,0,79,15.7,0.7,0.7583,40
29,0,79,20.9,0.7,0.7468,40
29,0,79,26.1,0.7,0.7387,40
29,0,79,31.3,0.7,0.727,40
29,0,79,36.5,0.7,0.7223,40
29,0,79,39.5,0.7,0.7161,40
29,0,79,13,0.492,0.585,40
29,0,79,15.7,0.492,0.5697,40
29,0,79,20.9,0.492,0.5534,40
29,0,79,26.1,0.492,0.5403,40
29,0,79,31.3,0.492,0.5298,40
29,0,79,36.5,0.492,0.5229,40
29,0,79,39.5,0.492,0.516,40
13,0,29,15.9,0.9445,0.8801,40
13,0,29,21.2,0.9445,0.8441,40
13,0,29,31.8,0.9445,0.7637,40
13,0,29,39.9,0.9445,0.7065,40
29,0,13,15.9,0.0555,0.0469,40
29,0,13,21.2,0.0555,0.0479,40
29,0,13,31.8,0.0555,0.0487,40
29,0,13,39.3,0.0555,0.0483,40
29,12,13,15.9,0.0555,0.0515,40
29,12,13,21.2,0.0555,0.0523,40
29,12,13,31.8,0.0555,0.0514,40
29,12,13,39.9,0.0555,0.0509,40
47,31,79,15,0.1996,0.167,52.5
47,31,79,20,0.1996,0.146,52.5
47,31,79,30,0.1996,0.112,52.5
47,31,79,40,0.1996,0.0898,52.5
47,31,79,48.5,0.1996,0.072,52.5
47,31,79,15,0.3992,0.349,52.5
47,31,79,20,0.3992,0.312,52.5
47,31,79,30,0.3992,0.253,52.5
47,31,79,40,0.3992,0.209,52.5
47,31,79,48.5,0.3992,0.175,52.5
47,31,79,15,0.5993,0.548,52.5
47,31,79,20,0.5993,0.506,52.5
47,31,79,30,0.5993,0.436,52.5
47,31,79,40,0.5993,0.368,52.5
47,31,79,48.5,0.5993,0.34,52.5
47,31,79,15,0.7758,0.742,52.5
47,31,79,20,0.7758,0.7,52.5
47,31,79,30,0.7758,0.645,52.5
47,31,79,40,0.7758,0.574,52.5
47,31,79,48.5,0.7758,0.542,52.5
46,12,79,5.2,0.359,0.3921,40
46,12,79,10.3,0.359,0.3342,40
46,12,79,15.5,0.359,0.2876,40
46,12,79,20.7,0.359,0.2445,40
46,12,79,25.8,0.359,0.2154,40
46,12,79,31,0.359,0.1898,40
46,12,79,36.2,0.359,0.1742,40
79,72,15,5.2,0.641,0.5786,40
79,72,15,10.3,0.641,0.5936,40
79,72,15,15.5,0.641,0.6005,40
79,72,15,20.7,0.641,0.6033,40
79,72,15,25.8,0.641,0.5962,40
79,72,15,31,0.641,0.5928,40
79,72,15,36.2,0.641,0.5883,40
29,0,28,10.1,0.565,0.558,40
29,0,28,12.5,0.565,0.5547,40
29,0,28,15.3,0.565,0.5556,40
29,0,28,20.4,0.565,0.5574,40
29,0,28,25.6,0.565,0.561,40
29,0,28,30.7,0.565,0.5587,40
29,0,28,40,0.565,0.5557,40
29,2,28,10.2,0.565,0.5494,40
29,2,28,12.5,0.565,0.5418,40
29,2,28,15.3,0.565,0.5334,40
29,2,28,20.5,0.565,0.5308,40
29,2,28,25.6,0.565,0.5143,40
29,2,28,30.7,0.565,0.5014,40
29,2,28,40,0.565,0.477,40
28,2,29,10.2,0.435,0.4473,40
28,2,29,12.5,0.435,0.4509,40
28,2,29,15.3,0.435,0.4504,40
28,2,29,20.5,0.435,0.4387,40
28,2,29,25.6,0.435,0.4454,40
28,2,29,30.7,0.435,0.4457,40
28,2,29,40,0.435,0.446,40
5,0,7,4,0.4355,0.3747,40
5,0,7,6,0.4355,0.3317,40
5,0,7,8,0.4355,0.2856,40
5,0,7,10,0.4355,0.2539,40
5,0,7,12,0.4355,0.2316,40
5,0,7,15,0.4355,0.2049,40
5,0,7,20,0.4355,0.1823,40
5,0,7,25,0.4355,0.18,40
5,0,7,30,0.4355,0.1834,40
14,0,7,4,0.6006,0.564,40
14,0,7,6,0.6006,0.5655,40
14,0,7,8,0.6006,0.566,40
14,0,7,10,0.6006,0.564,40
14,0,7,12,0.6006,0.5625,40
14,0,7,15,0.6006,0.557,40
14,0,7,20,0.6006,0.545,40
24,0,7,8,0.8882,0.8518,40
24,0,7,10,0.8882,0.8595,40
24,0,7,12,0.8882,0.8635,40
24,0,7,15,0.8882,0.868,40
24,0,7,20,0.8882,0.874,40
24,0,7,25,0.8882,0.8783,40
24,0,7,30,0.8882,0.8805,40
24,0,7,8,0.7878,0.729,40
24,0,7,10,0.7878,0.7365,40
24,0,7,12,0.7878,0.7433,40
24,0,7,15,0.7878,0.7505,40
24,0,7,20,0.7878,0.7595,40
24,0,7,25,0.7878,0.765,40
24,0,7,30,0.7878,0.7685,40
26,0,7,8,0.944,0.9118,40
26,0,7,10,0.944,0.914,40
26,0,7,12,0.944,0.9173,40
26,0,7,15,0.944,0.9202,40
26,0,7,20,0.944,0.924,40
26,0,7,25,0.944,0.926,40
26,0,7,30,0.944,0.927,40
41,12,7,4,0.9299,0.9042,40
41,12,7,6,0.9299,0.9068,40
41,12,7,8,0.9299,0.9097,40
41,12,7,10,0.9299,0.912,40
41,12,7,12,0.9299,0.913,40
41,12,7,15,0.9299,0.914,40
41,12,7,20,0.9299,0.9158,40
41,12,7,25,0.9299,0.9162,40
41,12,7,30,0.9299,0.9165,40
42,12,7,4,0.942,0.8964,40
42,12,7,6,0.942,0.9023,40
42,12,7,8,0.942,0.9078,40
42,12,7,10,0.942,0.9122,40
42,12,7,12,0.942,0.9163,40
42,12,7,15,0.942,0.922,40
42,12,7,20,0.942,0.9268,40
42,12,7,25,0.942,0.936,40
42,12,7,30,0.942,0.9399,40
