C
C  Ground state configurations and ionization energies of free atoms of
 34 Se  7 M3 3p3/2  4  1.63596E+02  1.66000E+02  1.60700E+02  3.50617E+00  2.20000E+00
 34 Se  8 M4 3d3/2  4  6.47963E+01  6.10000E+01  5.55000E+01  6.45672E-02  6.50000E-02
 34 Se  9 M5 3d5/2  6  6.38241E+01  6.00000E+01  5.46000E+01  6.60011E-02  6.00000E-02
 34 Se 10 N1 4s1/2  2  2.09411E+01  2.01500E+01  1.42500E+01  0.00000E+00  0.00000E+00
 34 Se 11 N2 4p1/2  2  9.78287E+00  9.75000E+00  3.85000E+00  0.00000E+00  0.00000E+00
 34 Se 12 N3 4p3/2  2  9.34919E+00  9.75000E+00  3.85000E+00  0.00000E+00  0.00000E+00
 35 Br  1 K  1s1/2  2  1.34357E+04  1.34810E+04  1.34740E+04  2.39624E+00  2.49000E+00
 35 Br  2 L1 2s1/2  2  1.76926E+03  1.78700E+03  1.78200E+03  8.23703E+00  3.80000E+00
 35 Br  3 L2 2p1/2  2  1.60223E+03  1.60200E+03  1.59600E+03  1.12530E+00  1.14000E+00
 35 Br  4 L3 2p3/2  4  1.55353E+03  1.55600E+03  1.55000E+03  1.08620E+00  1.11000E+00
 35 Br  5 M1 3s1/2  2  2.51507E+02  2.62000E+02  2.57000E+02  4.35841E+00  3.20000E+00
 35 Br  6 M2 3p1/2  2  1.91834E+02  1.97000E+02  1.89000E+02  3.74492E+00  2.10000E+00
 35 Br  7 M3 3p3/2  4  1.84706E+02  1.89000E+02  1.82000E+02  3.34069E+00  2.15000E+00
 35 Br  8 M4 3d3/2  4  7.95205E+01  7.70000E+01  7.00000E+01  6.84632E-02  6.80000E-02
 35 Br  9 M5 3d5/2  6  7.83475E+01  7.60000E+01  6.90000E+01  7.00490E-02  7.00000E-02
 35 Br 10 N1 4s1/2  2  2.41602E+01  2.38000E+01  2.38000E+01  0.00000E+00  0.00000E+00
 35 Br 11 N2 4p1/2  2  1.15736E+01  1.18500E+01  1.18500E+01  0.00000E+00  0.00000E+00
 35 Br 12 N3 4p3/2  3  1.10048E+01  1.18500E+01  1.18500E+01  0.00000E+00  0.00000E+00
 36 Kr  1 K  1s1/2  2  1.42801E+04  1.43270E+04  1.43260E+04  2.61667E+00  2.71000E+00
 36 Kr  2 L1 2s1/2  2  1.90246E+03  1.92460E+03  1.92100E+03  7.17186E+00  3.75000E+00
 36 Kr  3 L2 2p1/2  2  1.72851E+03  1.73090E+03  1.73090E+03  1.22492E+00  1.25000E+00
 36 Kr  4 L3 2p3/2  4  1.67338E+03  1.67840E+03  1.67840E+03  1.16988E+00  1.19000E+00
 36 Kr  5 M1 3s1/2  2  2.78253E+02  2.92800E+02  2.92800E+02  5.16945E+00  3.50000E+00
 36 Kr  6 M2 3p1/2  2  2.15193E+02  2.22200E+02  2.22200E+02  3.54164E+00  1.60000E+00
 36 Kr  7 M3 3p3/2  4  2.06945E+02  2.14400E+02  2.14400E+02  3.08292E+00  1.10000E+00
 36 Kr  8 M4 3d3/2  4  9.53332E+01  9.50000E+01  9.50000E+01  7.02603E-02  7.00000E-02
 36 Kr  9 M5 3d5/2  6  9.39318E+01  9.38000E+01  9.38000E+01  7.21158E-02  7.20000E-02
 36 Kr 10 N1 4s1/2  2  2.74601E+01  2.75100E+01  2.75000E+01  0.00000E+00  4.00000E-01
 36 Kr 11 N2 4p1/2  2  1.34387E+01  1.46500E+01  1.41000E+01  0.00000E+00  0.00000E+00
 36 Kr 12 N3 4p3/2  4  1.27146E+01  1.40000E+01  1.41000E+01  0.00000E+00  0.00000E+00
 37 Rb  1 K  1s1/2  2  1.51594E+04  1.52030E+04  1.52000E+04  2.85509E+00  2.96000E+00
 37 Rb  2 L1 2s1/2  2  2.04818E+03  2.06800E+03  2.06500E+03  6.20973E+00  3.75000E+00
 37 Rb  3 L2 2p1/2  2  1.86723E+03  1.86700E+03  1.86400E+03  1.31238E+00  1.34000E+00
 37 Rb  4 L3 2p3/2  4  1.80502E+03  1.80700E+03  1.80400E+03  1.25060E+00  1.27000E+00
 37 Rb  5 M1 3s1/2  2  3.13272E+02  3.25000E+02  3.26700E+02  5.83110E+00  4.00000E+00
 37 Rb  6 M2 3p1/2  2  2.46770E+02  2.51000E+02  2.48700E+02  3.16078E+00  1.90000E+00
 37 Rb  7 M3 3p3/2  4  2.37268E+02  2.42000E+02  2.39100E+02  2.81764E+00  1.95000E+00
 37 Rb  8 M4 3d3/2  4  1.19180E+02  1.16000E+02  1.13000E+02  6.68511E-02  6.70000E-02
 37 Rb  9 M5 3d5/2  6  1.17519E+02  1.14000E+02  1.12000E+02  6.94124E-02  6.00000E-02
 37 Rb 10 N1 4s1/2  2  3.67451E+01  3.20000E+01  3.05000E+01  2.48227E-01  1.20000E+00
 37 Rb 11 N2 4p1/2  2  2.07398E+01  1.60000E+01  1.63000E+01  0.00000E+00  0.00000E+00
 37 Rb 12 N3 4p3/2  4  1.97455E+01  1.53000E+01  1.53000E+01  0.00000E+00  0.00000E+00
 37 Rb 17 O1 5s1/2  1  4.01685E+00  4.18000E+00  1.92000E+00  0.00000E+00  0.00000E+00
 38 Sr  1 K  1s1/2  2  1.60674E+04  1.61080E+04  1.61050E+04  3.11463E+00  3.23000E+00
 38 Sr  2 L1 2s1/2  2  2.20032E+03  2.21900E+03  2.21600E+03  6.25140E+00  3.75000E+00
 38 Sr  3 L2 2p1/2  2  2.01230E+03  2.01000E+03  2.00700E+03  1.40066E+00  1.43000E+00
 38 Sr  4 L3 2p3/2  4  1.94234E+03  1.94300E+03  1.94000E+03  1.32998E+00  1.35000E+00
 38 Sr  5 M1 3s1/2  2  3.50407E+02  3.61000E+02  3.58700E+02  6.56795E+00  4.40000E+00
 38 Sr  6 M2 3p1/2  2  2.80411E+02  2.83000E+02  2.80300E+02  2.81871E+00  1.90000E+00
 38 Sr  7 M3 3p3/2  4  2.69508E+02  2.73000E+02  2.70000E+02  2.47358E+00  1.90000E+00
 38 Sr  8 M4 3d3/2  4  1.44904E+02  1.39000E+02  1.36000E+02  6.05818E-02  6.10000E-02
 38 Sr  9 M5 3d5/2  6  1.42949E+02  1.37000E+02  1.34200E+02  6.36898E-02  6.00000E-02
 38 Sr 10 N1 4s1/2  2  4.64121E+01  4.00000E+01  3.89000E+01  6.50959E-01  1.60000E+00
 38 Sr 11 N2 4p1/2  2  2.84870E+01  2.30000E+01  2.13000E+01  7.05620E-04  4.00000E-01
 38 Sr 12 N3 4p3/2  4  2.71939E+01  2.20000E+01  2.01000E+01  1.60087E-03  0.00000E+00
 38 Sr 17 O1 5s1/2  2  5.10001E+00  5.69000E+00  3.10000E+00  0.00000E+00  0.00000E+00
 39 Y   1 K  1s1/2  2  1.70008E+04  1.70410E+04  1.70380E+04  3.39433E+00  3.51000E+00
 39 Y   2 L1 2s1/2  2  2.35500E+03  2.37500E+03  2.37300E+03  6.03801E+00  3.75000E+00
 39 Y   3 L2 2p1/2  2  2.15984E+03  2.15800E+03  2.15600E+03  1.49325E+00  1.53000E+00
 39 Y   4 L3 2p3/2  4  2.08140E+03  2.08300E+03  2.08000E+03  1.41285E+00  1.43000E+00
 39 Y   5 M1 3s1/2  2  3.85853E+02  3.97000E+02  3.92000E+02  7.09492E+00  4.90000E+00
 39 Y   6 M2 3p1/2  2  3.12313E+02  3.15000E+02  3.10600E+02  2.51856E+00  1.95000E+00
 39 Y   7 M3 3p3/2  4  2.99855E+02  3.04000E+02  2.98800E+02  2.67671E+00  1.95000E+00
 39 Y   8 M4 3d3/2  4  1.68681E+02  1.63000E+02  1.57700E+02  6.24781E-02  6.20000E-02
 39 Y   9 M5 3d5/2  6  1.66397E+02  1.61000E+02  1.55870E+02  6.59706E-02  6.00000E-02
 39 Y  10 N1 4s1/2  2  5.33417E+01  4.80000E+01  4.38000E+01  2.25901E+00  2.00000E+00
 39 Y  11 N2 4p1/2  2  3.36970E+01  3.00000E+01  2.44000E+01  6.39733E-02  8.00000E-01
 39 Y  12 N3 4p3/2  4  3.21032E+01  2.90000E+01  2.31000E+01  6.06061E-02  3.00000E-01
 39 Y  13 N4 4d3/2  1  5.21998E+00  6.45000E+00  3.35000E+00  0.00000E+00  0.00000E+00
 39 Y  17 O1 5s1/2  2  5.68103E+00  6.45000E+00  3.35000E+00  0.00000E+00  0.00000E+00
 40 Zr  1 K  1s1/2  2  1.79619E+04  1.80020E+04  1.79980E+04  3.69620E+00  3.83000E+00
 40 Zr  2 L1 2s1/2  2  2.51473E+03  2.53600E+03  2.53200E+03  5.69127E+00  3.75000E+00
 40 Zr  3 L2 2p1/2  2  2.31236E+03  2.31100E+03  2.30700E+03  1.58846E+00  1.63000E+00
 40 Zr  4 L3 2p3/2  4  2.22466E+03  2.22700E+03  2.22300E+03  1.49658E+00  1.51000E+00
 40 Zr  5 M1 3s1/2  2  4.22081E+02  4.34000E+02  4.30300E+02  7.58640E+00  5.40000E+00
 40 Zr  6 M2 3p1/2  2  3.44950E+02  3.48000E+02  3.43500E+02  2.68881E+00  2.00000E+00
 40 Zr  7 M3 3p3/2  4  3.30771E+02  3.35000E+02  3.29800E+02  2.83926E+00  2.00000E+00
 40 Zr  8 M4 3d3/2  4  1.92983E+02  1.87000E+02  1.81100E+02  7.01652E-02  7.00000E-02
 40 Zr  9 M5 3d5/2  6  1.90332E+02  1.85000E+02  1.78800E+02  7.37312E-02  7.00000E-02
 40 Zr 10 N1 4s1/2  2  5.99314E+01  5.60000E+01  5.06000E+01  4.51161E+00  2.40000E+00
 40 Zr 11 N2 4p1/2  2  3.85990E+01  3.50000E+01  2.85000E+01  2.67457E-01  1.20000E+00
 40 Zr 12 N3 4p3/2  4  3.66750E+01  3.30000E+01  2.71000E+01  2.50696E-01  6.00000E-01
 40 Zr 13 N4 4d3/2  2  6.62927E+00  7.72500E+00  3.67500E+00  0.00000E+00  0.00000E+00
 40 Zr 17 O1 5s1/2  2  6.11621E+00  7.72500E+00  3.67500E+00  0.00000E+00  0.00000E+00
 41 Nb  1 K  1s1/2  2  1.89513E+04  1.89900E+04  1.89860E+04  4.01950E+00  4.16000E+00
 41 Nb  2 L1 2s1/2  2  2.67979E+03  2.70200E+03  2.69800E+03  5.89959E+00  3.80000E+00
 41 Nb  3 L2 2p1/2  2  2.47013E+03  2.46900E+03  2.46500E+03  1.69072E+00  1.73000E+00
 41 Nb  4 L3 2p3/2  4  2.37235E+03  2.37500E+03  2.37100E+03  1.58500E+00  1.60000E+00
 41 Nb  5 M1 3s1/2  2  4.59348E+02  4.72000E+02  4.66600E+02  7.97658E+00  5.80000E+00
 41 Nb  6 M2 3p1/2  2  3.78578E+02  3.82000E+02  3.76100E+02  2.78857E+00  2.05000E+00
 41 Nb  7 M3 3p3/2  4  3.62502E+02  3.67000E+02  3.60600E+02  2.93571E+00  2.05000E+00
 41 Nb  8 M4 3d3/2  4  2.18054E+02  2.12000E+02  2.05000E+02  9.16767E-02  9.20000E-02
 41 Nb  9 M5 3d5/2  6  2.14996E+02  2.09000E+02  2.02300E+02  9.53440E-02  9.00000E-02
 41 Nb 10 N1 4s1/2  2  6.64126E+01  6.20000E+01  5.64000E+01  7.96121E+00  2.80000E+00
 41 Nb 11 N2 4p1/2  2  4.34008E+01  4.00000E+01  3.26000E+01  1.03351E+00  1.50000E+00
 41 Nb 12 N3 4p3/2  4  4.11122E+01  3.80000E+01  3.08000E+01  1.07331E+00  1.00000E+00
 41 Nb 13 N4 4d3/2  3  7.99686E+00  7.17000E+00  2.84000E+00  0.00000E+00  0.00000E+00
 41 Nb 17 O1 5s1/2  2  6.47541E+00  7.07300E+00  2.74300E+00  0.00000E+00  0.00000E+00
 42 Mo  1 K  1s1/2  2  1.99691E+04  2.00060E+04  2.00000E+04  4.37030E+00  4.52000E+00
 42 Mo  2 L1 2s1/2  2  2.85034E+03  2.87200E+03  2.86600E+03  6.12690E+00  3.80000E+00
 42 Mo  3 L2 2p1/2  2  2.63328E+03  2.63200E+03  2.62500E+03  1.78943E+00  1.83000E+00
 42 Mo  4 L3 2p3/2  4  2.52456E+03  2.52700E+03  2.52000E+03  1.67119E+00  1.69000E+00
 42 Mo  5 M1 3s1/2  2  4.97756E+02  5.11000E+02  5.06300E+02  8.49708E+00  6.30000E+00
 42 Mo  6 M2 3p1/2  2  4.13301E+02  4.16000E+02  4.11600E+02  2.93295E+00  2.10000E+00
 42 Mo  7 M3 3p3/2  4  3.95139E+02  3.99000E+02  3.94000E+02  3.08449E+00  2.10000E+00
 42 Mo  8 M4 3d3/2  4  2.43982E+02  2.37000E+02  2.31100E+02  1.12022E-01  2.20000E-01
 42 Mo  9 M5 3d5/2  6  2.40473E+02  2.34000E+02  2.27900E+02  1.15748E-01  1.20000E-01
 42 Mo 10 N1 4s1/2  2  7.28718E+01  6.80000E+01  6.32000E+01  1.08320E+01  3.20000E+00
 42 Mo 11 N2 4p1/2  2  4.81781E+01  4.50000E+01  3.76000E+01  1.96902E+00  2.20000E+00
 42 Mo 12 N3 4p3/2  4  4.54870E+01  4.20000E+01  3.55000E+01  2.06492E+00  1.60000E+00
 42 Mo 13 N4 4d3/2  4  9.34530E+00  8.31700E+00  3.71700E+00  0.00000E+00  0.00000E+00
 42 Mo 17 O1 5s1/2  2  6.78609E+00  8.31700E+00  3.71700E+00  0.00000E+00  0.00000E+00
 43 Tc  1 K  1s1/2  2  2.10119E+04  2.10500E+04  2.10440E+04  4.74810E+00  4.91000E+00
 43 Tc  2 L1 2s1/2  2  3.02246E+03  3.04800E+03  3.04300E+03  6.37964E+00  3.80000E+00
 43 Tc  3 L2 2p1/2  2  2.79796E+03  2.80000E+03  2.79300E+03  1.88998E+00  1.93000E+00
 43 Tc  4 L3 2p3/2  4  2.67736E+03  2.68300E+03  2.67700E+03  1.75888E+00  1.78000E+00
 43 Tc  5 M1 3s1/2  2  5.33437E+02  5.51000E+02  5.44000E+02  9.04740E+00  6.70000E+00
 43 Tc  6 M2 3p1/2  2  4.45246E+02  4.51000E+02  4.47600E+02  3.07504E+00  2.15000E+00
 43 Tc  7 M3 3p3/2  4  4.24800E+02  4.32000E+02  4.17700E+02  3.23308E+00  2.15000E+00
 43 Tc  8 M4 3d3/2  4  2.66863E+02  2.63000E+02  2.57600E+02  1.38221E-01  5.00000E-01
 43 Tc  9 M5 3d5/2  6  2.62857E+02  2.59000E+02  2.53900E+02  1.41946E-01  1.40000E-01
 43 Tc 10 N1 4s1/2  2  7.58061E+01  7.40000E+01  6.95000E+01  1.36420E+01  3.50000E+00
 43 Tc 11 N2 4p1/2  2  4.95597E+01  4.90000E+01  4.23000E+01  3.32503E+00  2.70000E+00
 43 Tc 12 N3 4p3/2  4  4.64710E+01  4.50000E+01  3.99000E+01  3.49642E+00  2.20000E+00
 43 Tc 13 N4 4d3/2  4  8.01139E+00  8.60000E+00  3.78000E+00  0.00000E+00  0.00000E+00
 43 Tc 14 N5 4d5/2  2  7.70507E+00  8.27000E+00  3.45000E+00  0.00000E+00  0.00000E+00
 43 Tc 17 O1 5s1/2  1  6.17859E+00  8.27000E+00  3.45000E+00  0.00000E+00  0.00000E+00
 44 Ru  1 K  1s1/2  2  2.20872E+04  2.21230E+04  2.21170E+04  5.15390E+00  5.33000E+00
 44 Ru  2 L1 2s1/2  2  3.20404E+03  3.23000E+03  3.22400E+03  6.51326E+00  3.90000E+00
 44 Ru  3 L2 2p1/2  2  2.97198E+03  2.97300E+03  2.96700E+03  1.99113E+00  2.03000E+00
 44 Ru  4 L3 2p3/2  4  2.83853E+03  2.84400E+03  2.83800E+03  1.84732E+00  1.87000E+00
 44 Ru  5 M1 3s1/2  2  5.74083E+02  5.92000E+02  5.86100E+02  9.55663E+00  7.20000E+00
 44 Ru  6 M2 3p1/2  2  4.82110E+02  4.88000E+02  4.83500E+02  3.21216E+00  2.20000E+00
 44 Ru  7 M3 3p3/2  4  4.59164E+02  4.66000E+02  4.61400E+02  3.38529E+00  2.20000E+00
 44 Ru  8 M4 3d3/2  4  2.94411E+02  2.90000E+02  2.84200E+02  1.70301E-01  5.90000E-01
 44 Ru  9 M5 3d5/2  6  2.89860E+02  2.86000E+02  2.80000E+02  1.74055E-01  1.70000E-01
 44 Ru 10 N1 4s1/2  2  8.21242E+01  8.10000E+01  7.50000E+01  1.64940E+01  3.90000E+00
 44 Ru 11 N2 4p1/2  2  5.41677E+01  5.30000E+01  4.63000E+01  5.11594E+00  3.20000E+00
 44 Ru 12 N3 4p3/2  4  5.05939E+01  4.90000E+01  4.32000E+01  5.42173E+00  2.80000E+00
 44 Ru 13 N4 4d3/2  4  9.10429E+00  8.50000E+00  3.79000E+00  0.00000E+00  0.00000E+00
 44 Ru 14 N5 4d5/2  3  8.72965E+00  8.12300E+00  3.41300E+00  0.00000E+00  0.00000E+00
 44 Ru 17 O1 5s1/2  1  6.37886E+00  8.12300E+00  3.41300E+00  0.00000E+00  0.00000E+00
 45 Rh  1 K  1s1/2  2  2.31919E+04  2.32250E+04  2.32200E+04  5.58920E+00  5.77000E+00
 45 Rh  2 L1 2s1/2  2  3.39139E+03  3.41800E+03  3.41200E+03  6.60589E+00  4.00000E+00
 45 Rh  3 L2 2p1/2  2  3.15168E+03  3.15200E+03  3.14600E+03  2.09419E+00  2.13000E+00
 45 Rh  4 L3 2p3/2  4  3.00434E+03  3.01000E+03  3.00400E+03  1.93733E+00  1.96000E+00
 45 Rh  5 M1 3s1/2  2  6.16041E+02  6.34000E+02  6.28100E+02  9.86088E+00  7.60000E+00
 45 Rh  6 M2 3p1/2  2  5.20237E+02  5.26000E+02  5.21300E+02  3.35221E+00  2.25000E+00
 45 Rh  7 M3 3p3/2  4  4.94562E+02  5.01000E+02  4.96500E+02  3.54273E+00  2.25000E+00
 45 Rh  8 M4 3d3/2  4  3.22939E+02  3.18000E+02  3.11900E+02  2.08123E-01  6.10000E-01
 45 Rh  9 M5 3d5/2  6  3.17789E+02  3.13000E+02  3.07200E+02  2.11845E-01  2.10000E-01
 45 Rh 10 N1 4s1/2  2  8.85342E+01  8.70000E+01  8.14000E+01  1.92100E+01  4.20000E+00
 45 Rh 11 N2 4p1/2  2  5.88490E+01  5.80000E+01  5.05000E+01  7.41225E+00  4.20000E+00
 45 Rh 12 N3 4p3/2  4  5.47424E+01  5.30000E+01  4.73000E+01  7.90464E+00  3.80000E+00
 45 Rh 13 N4 4d3/2  4  1.02115E+01  9.56000E+00  4.58000E+00  0.00000E+00  0.00000E+00
 45 Rh 14 N5 4d5/2  4  9.76053E+00  8.86000E+00  3.88000E+00  0.00000E+00  0.00000E+00
 45 Rh 17 O1 5s1/2  1  6.56404E+00  8.86000E+00  3.88000E+00  0.00000E+00  0.00000E+00
 46 Pd  1 K  1s1/2  2  2.43259E+04  2.43570E+04  2.43500E+04  6.05460E+00  6.25000E+00
 46 Pd  2 L1 2s1/2  2  3.58458E+03  3.61100E+03  3.60400E+03  6.25957E+00  3.90000E+00
 46 Pd  3 L2 2p1/2  2  3.33714E+03  3.33700E+03  3.33000E+03  2.20248E+00  2.23000E+00
 46 Pd  4 L3 2p3/2  4  3.17481E+03  3.18000E+03  3.17300E+03  2.03188E+00  2.05000E+00
 46 Pd  5 M1 3s1/2  2  6.59340E+02  6.77000E+02  6.71600E+02  1.04641E+01  8.00000E+00
 46 Pd  6 M2 3p1/2  2  5.59656E+02  5.65000E+02  5.59900E+02  3.47469E+00  2.35000E+00
 46 Pd  7 M3 3p3/2  4  5.31010E+02  5.37000E+02  5.32300E+02  3.68771E+00  2.35000E+00
 46 Pd  8 M4 3d3/2  4  3.52459E+02  3.47000E+02  3.40500E+02  2.60995E-01  2.60000E-01
 46 Pd  9 M5 3d5/2  6  3.46654E+02  3.42000E+02  3.35080E+02  2.63356E-01  2.60000E-01
 46 Pd 10 N1 4s1/2  2  9.50519E+01  9.30000E+01  8.71000E+01  2.17860E+01  4.35000E+00
 46 Pd 11 N2 4p1/2  2  6.36166E+01  6.30000E+01  5.57000E+01  1.12901E+01  6.40000E+00
 46 Pd 12 N3 4p3/2  4  5.89257E+01  5.70000E+01  5.09000E+01  1.19991E+01  5.60000E+00
 46 Pd 13 N4 4d3/2  4  1.13341E+01  8.56000E+00  3.34000E+00  0.00000E+00  0.00000E+00
 46 Pd 14 N5 4d5/2  5  1.07982E+01  8.34000E+00  3.12000E+00  0.00000E+00  0.00000E+00
 46 Pd 17 O1 5s1/2  1  6.73750E+00  8.34000E+00  3.12000E+00  0.00000E+00  0.00000E+00
 47 Ag  1 K  1s1/2  2  2.54898E+04  2.55200E+04  2.55140E+04  6.55620E+00  6.76000E+00
 47 Ag  2 L1 2s1/2  2  3.78369E+03  3.81200E+03  3.80600E+03  5.40014E+00  3.80000E+00
 47 Ag  3 L2 2p1/2  2  3.52842E+03  3.53000E+03  3.52400E+03  2.30455E+00  2.32000E+00
 47 Ag  4 L3 2p3/2  4  3.34995E+03  3.35700E+03  3.35100E+03  2.12171E+00  2.15000E+00
 47 Ag  5 M1 3s1/2  2  7.04008E+02  7.24000E+02  7.19000E+02  1.11243E+01  8.40000E+00
 47 Ag  6 M2 3p1/2  2  6.00393E+02  6.08000E+02  6.03800E+02  3.64351E+00  2.45000E+00
 47 Ag  7 M3 3p3/2  4  5.68518E+02  5.77000E+02  5.73000E+02  3.87502E+00  2.55000E+00
 47 Ag  8 M4 3d3/2  4  3.82981E+02  3.79000E+02  3.74000E+02  3.01850E-01  3.00000E-01
 47 Ag  9 M5 3d5/2  6  3.76462E+02  3.73000E+02  3.68220E+02  3.05369E-01  3.10000E-01
 47 Ag 10 N1 4s1/2  2  1.01690E+02  1.01000E+02  9.70000E+01  2.39270E+01  4.40000E+00
 47 Ag 11 N2 4p1/2  2  6.84807E+01  6.90000E+01  6.37000E+01  1.37581E+01  8.40000E+00
 47 Ag 12 N3 4p3/2  4  6.31510E+01  6.30000E+01  5.83000E+01  1.47051E+01  8.00000E+00
 47 Ag 13 N4 4d3/2  4  1.24727E+01  1.10000E+01  6.36000E+00  0.00000E+00  0.00000E+00
 47 Ag 14 N5 4d5/2  6  1.18427E+01  1.00000E+01  5.36000E+00  0.00000E+00  0.00000E+00
 47 Ag 17 O1 5s1/2  1  6.90094E+00  7.58000E+00  2.94000E+00  0.00000E+00  0.00000E+00
 48 Cd  1 K  1s1/2  2  2.66890E+04  2.67150E+04  2.67110E+04  7.09250E+00  7.32000E+00
 48 Cd  2 L1 2s1/2  2  3.99442E+03  4.02200E+03  4.01800E+03  4.27993E+00  3.50000E+00
 48 Cd  3 L2 2p1/2  2  3.73120E+03  3.73200E+03  3.72700E+03  2.40195E+00  2.42000E+00
 48 Cd  4 L3 2p3/2  4  3.53536E+03  3.54200E+03  3.53800E+03  2.21183E+00  2.24000E+00
 48 Cd  5 M1 3s1/2  2  7.55587E+02  7.75000E+02  7.72000E+02  1.17146E+01  8.80000E+00
 48 Cd  6 M2 3p1/2  2  6.47995E+02  6.55000E+02  6.52600E+02  3.83347E+00  2.55000E+00
 48 Cd  7 M3 3p3/2  4  6.12615E+02  6.21000E+02  6.18400E+02  4.07368E+00  2.80000E+00
 48 Cd  8 M4 3d3/2  4  4.20057E+02  4.15000E+02  4.11900E+02  3.43598E-01  3.40000E-01
 48 Cd  9 M5 3d5/2  6  4.12760E+02  4.08000E+02  4.05100E+02  3.48374E-01  3.50000E-01
 48 Cd 10 N1 4s1/2  2  1.13449E+02  1.12000E+02  1.09800E+02  2.53420E+01  4.40000E+00
 48 Cd 11 N2 4p1/2  2  7.82993E+01  7.80000E+01  6.39000E+01  1.64701E+01  1.08000E+01
 48 Cd 12 N3 4p3/2  4  7.21981E+01  7.10000E+01  6.39000E+01  1.77341E+01  1.05000E+01
 48 Cd 13 N4 4d3/2  4  1.77177E+01  1.40000E+01  1.17000E+01  0.00000E+00  0.00000E+00
 48 Cd 14 N5 4d5/2  6  1.69386E+01  1.30000E+01  1.07000E+01  0.00000E+00  0.00000E+00
 48 Cd 17 O1 5s1/2  2  8.22316E+00  8.99000E+00  4.91000E+00  0.00000E+00  0.00000E+00
 49 In  1 K  1s1/2  2  2.79211E+04  2.79440E+04  2.79400E+04  7.66670E+00  7.90000E+00
 49 In  2 L1 2s1/2  2  4.21397E+03  4.24200E+03  4.23800E+03  2.89008E+00  3.00000E+00
 49 In  3 L2 2p1/2  2  3.94271E+03  3.94300E+03  3.93800E+03  2.50462E+00  2.53000E+00
 49 In  4 L3 2p3/2  4  3.72821E+03  3.73500E+03  3.73000E+03  2.30466E+00  2.34000E+00
 49 In  5 M1 3s1/2  2  8.11280E+02  8.30000E+02  8.27200E+02  1.17688E+01  9.20000E+00
 49 In  6 M2 3p1/2  2  6.99660E+02  7.07000E+02  7.03200E+02  4.02556E+00  2.70000E+00
 49 In  7 M3 3p3/2  4  6.60482E+02  6.69000E+02  6.65300E+02  4.30568E+00  3.05000E+00
 49 In  8 M4 3d3/2  4  4.60855E+02  4.55000E+02  4.51400E+02  3.87459E-01  3.80000E-01
 49 In  9 M5 3d5/2  6  4.52713E+02  4.47000E+02  4.43900E+02  3.92522E-01  3.90000E-01
 49 In 10 N1 4s1/2  2  1.27810E+02  1.26000E+02  1.22900E+02  2.61890E+01  4.20000E+00
 49 In 11 N2 4p1/2  2  9.06666E+01  9.00000E+01  7.35000E+01  1.92341E+01  1.32000E+01
 49 In 12 N3 4p3/2  4  8.37034E+01  8.20000E+01  7.35000E+01  2.14611E+01  1.40000E+01
 49 In 13 N4 4d3/2  4  2.53206E+01  2.10000E+01  1.77000E+01  3.78101E-02  0.00000E+00
 49 In 14 N5 4d5/2  6  2.43702E+01  2.00000E+01  1.69000E+01  1.82851E-02  0.00000E+00
 49 In 17 O1 5s1/2  2  1.07290E+01  8.59700E+00  4.50700E+00  0.00000E+00  0.00000E+00
 49 In 18 O2 5p1/2  1  4.85098E+00  8.59700E+00  4.50700E+00  0.00000E+00  0.00000E+00
 50 Sn  1 K  1s1/2  2  2.91843E+04  2.92040E+04  2.92000E+04  8.28050E+00  8.53000E+00
 50 Sn  2 L1 2s1/2  2  4.44025E+03  4.46900E+03  4.46500E+03  3.01777E+00  2.40000E+00
 50 Sn  3 L2 2p1/2  2  4.16084E+03  4.16000E+03  4.15600E+03  2.60779E+00  2.64000E+00
 50 Sn  4 L3 2p3/2  4  3.92633E+03  3.93300E+03  3.92900E+03  2.39862E+00  2.43000E+00
 50 Sn  5 M1 3s1/2  2  8.68912E+02  8.88000E+02  8.84700E+02  1.23362E+01  9.60000E+00
 50 Sn  6 M2 3p1/2  2  7.53215E+02  7.61000E+02  7.56500E+02  4.21130E+00  2.85000E+00
 50 Sn  7 M3 3p3/2  4  7.09928E+02  7.19000E+02  7.14600E+02  4.55162E+00  3.30000E+00
 50 Sn  8 M4 3d3/2  4  5.03187E+02  4.97000E+02  4.93200E+02  4.30644E-01  4.30000E-01
 50 Sn  9 M5 3d5/2  6  4.94128E+02  4.89000E+02  4.84900E+02  4.35803E-01  4.40000E-01
 50 Sn 10 N1 4s1/2  2  1.42539E+02  1.41000E+02  1.37100E+02  2.54860E+01  3.40000E+00
 50 Sn 11 N2 4p1/2  2  1.03355E+02  1.02000E+02  8.36000E+01  2.16611E+01  1.70000E+01
 50 Sn 12 N3 4p3/2  4  9.54337E+01  9.30000E+01  8.36000E+01  2.56211E+01  1.70000E+01
 50 Sn 13 N4 4d3/2  4  3.31257E+01  2.90000E+01  2.49000E+01  8.03195E-02  8.00000E-02
 50 Sn 14 N5 4d5/2  6  3.19848E+01  2.80000E+01  2.39000E+01  7.85955E-02  8.00000E-02
 50 Sn 17 O1 5s1/2  2  1.31749E+01  1.20000E+01  7.58000E+00  0.00000E+00  0.00000E+00
 50 Sn 18 O2 5p1/2  2  6.12696E+00  7.34000E+00  2.92000E+00  0.00000E+00  0.00000E+00
